session_date,start_time,end_time,total_duration,pause_duration,net_duration,num_pauses,pause_details
2026-05-11,2026-05-11T13:52:19Z,2026-05-11T13:52:22Z,00:00:03,00:00:03,00:00:00,3,café:00:00:01; almoço:00:00:01; break:00:00:01
2026-05-11,2026-05-11T13:53:00Z,2026-05-11T13:53:04Z,00:00:04,00:00:00,00:00:04,3,café:00:00:00; almoço:00:00:00; break:00:00:00
2026-05-11,2026-05-11T13:53:25Z,2026-05-11T13:53:27Z,00:00:02,00:00:00,00:00:02,1,café:00:00:00
2026-05-11,2026-05-11T13:53:27Z,2026-05-11T13:53:28Z,00:00:01,00:00:00,00:00:01,1,café:00:00:00
2026-05-11,2026-05-11T13:53:28Z,2026-05-11T13:53:30Z,00:00:02,00:00:00,00:00:02,1,café:00:00:00
2026-05-11,2026-05-11T13:53:30Z,2026-05-11T13:53:33Z,00:00:03,00:00:02,00:00:01,3,café:00:00:01; almoço:00:00:01; break:00:00:00
2026-05-11,2026-05-11T13:54:17Z,2026-05-11T13:54:18Z,00:00:01,00:00:01,00:00:00,1,café:00:00:01
2026-05-11,2026-05-11T13:54:46Z,2026-05-11T13:54:48Z,00:00:02,00:00:00,00:00:02,1,café:00:00:00
2026-05-11,2026-05-11T13:54:48Z,2026-05-11T13:54:48Z,00:00:00,00:00:00,00:00:00,1,café:00:00:00
2026-05-11,2026-05-11T13:54:49Z,2026-05-11T13:54:50Z,00:00:01,00:00:01,00:00:00,1,café:00:00:01
2026-05-11,2026-05-11T13:54:51Z,2026-05-11T13:54:54Z,00:00:03,00:00:02,00:00:01,3,café:00:00:00; almoço:00:00:01; break:00:00:01
2026-05-11,2026-05-11T13:55:20Z,2026-05-11T13:55:21Z,00:00:01,00:00:00,00:00:01,1,café:00:00:00
2026-05-11,2026-05-11T13:55:22Z,2026-05-11T13:55:22Z,00:00:00,00:00:00,00:00:00,1,café:00:00:00
2026-05-11,2026-05-11T13:55:23Z,2026-05-11T13:55:24Z,00:00:01,00:00:01,00:00:00,1,café:00:00:01
2026-05-11,2026-05-11T13:55:24Z,2026-05-11T13:55:28Z,00:00:04,00:00:00,00:00:04,3,café:00:00:00; almoço:00:00:00; break:00:00:00
2026-05-11,2026-05-11T13:55:39Z,2026-05-11T13:55:40Z,00:00:01,00:00:01,00:00:00,1,café:00:00:01
2026-05-11,2026-05-11T13:55:40Z,2026-05-11T13:55:41Z,00:00:01,00:00:00,00:00:01,1,café:00:00:00
2026-05-11,2026-05-11T13:55:42Z,2026-05-11T13:55:43Z,00:00:01,00:00:01,00:00:00,1,café:00:00:01
2026-05-11,2026-05-11T13:55:43Z,2026-05-11T13:55:47Z,00:00:04,00:00:00,00:00:04,3,café:00:00:00; almoço:00:00:00; break:00:00:00
2026-05-11,2026-05-11T13:55:57Z,2026-05-11T13:55:58Z,00:00:01,00:00:01,00:00:00,1,café:00:00:01
2026-05-11,2026-05-11T13:55:58Z,2026-05-11T13:55:59Z,00:00:01,00:00:00,00:00:01,1,café:00:00:00
2026-05-11,2026-05-11T13:55:59Z,2026-05-11T13:56:01Z,00:00:02,00:00:00,00:00:02,1,café:00:00:00
2026-05-11,2026-05-11T13:56:01Z,2026-05-11T13:56:05Z,00:00:04,00:00:00,00:00:04,3,café:00:00:00; almoço:00:00:00; break:00:00:00
2026-05-13,2026-05-13T12:49:14Z,2026-05-14T20:26:47Z,07:37:33,00:00:00,07:37:33,0,none
2026-05-15,2026-05-15T12:13:45Z,2026-05-17T13:07:34Z,00:53:49,00:00:00,00:53:49,0,none
2026-05-17,2026-05-17T13:07:34Z,2026-05-17T13:08:29Z,00:00:55,00:00:00,00:00:55,0,none
2026-05-18,2026-05-18T13:18:18Z,2026-05-18T20:04:30Z,06:46:12,00:00:00,06:46:12,0,none
